System ID,Book Title,Author,Category,Subject,Price,MRP,Stock,ISBN No,Description,Published Year,Binding,Pages,Weight,is_bestseller,is_trending,is_new_arrival,is_featured
jxTrxGwDiPQ7HHfni6iN,Pathological Test & Laboratory Works,Hkm. Majeed Ahmad Narvi,2nd (Second) Prof.,Pathology (Mahiyat-ul-Amraz,0,0,10,TEMP-9790000002142,,,,,,,,,
InQzsE8lu8uPZoZh9tVC,Perfect Usoole Tibb,Dr. Md. Akmal,Exam Preparation,AIAPGET / PG / MD / MO / UPSC Entrance Exam Books,320,400,10,9789390000000,,,,,,,,,
HLUDnyBaCr2cTM85LnkI,Pharmaceutical Vol.1-2,Dr. Saima,Masters or P.G.,Undefined,0,0,10,TEMP-9790000002159,,,,,,,,,
yFcTrZGdJdvYs4GalYyj,Pharmacology,Hkm. Md. Yusuf Ansari,2nd (Second) Prof.,Unani Pharmacology (Kulliyat-e-Advia),240,300,10,9788190000000,,,,,,,,,
XI1SqdXjhbvaJq4MCiiA,Practice of Allopethic,Dr. Kamruz Zama,Masters or P.G.,Undefined,240,300,10,9789390000000,,,,,,,,,
DDZMFYi097ACFRecpZyq,Prime Subjectwise MCQs,Dr. Zubair Ansari,Exam Preparation,AIAPGET / PG / MD / MO / UPSC Entrance Exam Books,120,150,10,9789390000000,,,,,,,,,
kdB0taBeG3WmOGB3X4Fd,Qabaliyaat,Hkm. Md. Abbas Rizwi,Masters or P.G.,Undefined,46.4,58,10,TEMP-9790000002166,,,,,,,,,
7XqOEnSrc1qALXPzFnYa,Qadeem Ilmul Amraz,Hkm. Imamuddin Zakai,2nd (Second) Prof.,Pathology (Mahiyat-ul-Amraz,160,200,10,9788190000000,,,,,,,,,
nwsdQayJ96FPS2iOtTgH,Qaleed-e-Murakkabat,Dr. Mohd Shafique Khan,2nd (Second) Prof.,Drugs Formulation (Murakkabat),120,150,10,TEMP-9790000002173,,,,,,,,,
b6T3bYiqJVMFVcy1zreE,Qalmi Nuskha,Ziaul Haq Hassamuddin,Masters or P.G.,Undefined,0,0,10,TEMP-9790000002180,,,,,,,,,
